name;year;certificate;runtime;genre;rating;metascore;text-muted;director;stars
Downton Abbey 2: Une nouvelle ere;2022;Tous publics;124;['Drama', 'Romance'];7.4;63;The Crawley family goes on a grand journey to the South of France to uncover the mystery of the dowager countess's newly inherited villa.;['Simon Curtis'];['Hugh Bonneville', 'Jim Carter', 'Michelle Dockery', 'Elizabeth McGovern']
Amazing Grace;2006;PG;118;['Biography', 'Drama', 'History'];7.4;65;The idealist William Wilberforce (Ioan Gruffudd) maneuvers his way through Parliament, endeavoring to end the British transatlantic slave trade.;['Michael Apted'];['Ioan Gruffudd', 'Albert Finney', 'Michael Gambon', 'Romola Garai']
Snow Cake;2006;Pas disponible;112;['Drama', 'Romance'];7.4;54;A drama focused on the friendship between a high-functioning autistic woman and a man who is traumatized after a fatal car accident.;['Marc Evans'];['Alan Rickman', 'Sigourney Weaver', 'Carrie-Anne Moss', 'Emily Hampshire']
Le voile des illusions;2006;Tous publics;125;['Drama', 'Romance'];7.4;69;A British medical doctor fights a cholera epidemic in a small Chinese village, while being trapped at home in a loveless marriage to an unfaithful wife.;['John Curran'];['Naomi Watts', 'Edward Norton', 'Liev Schreiber', 'Catherine An']
Keith;2008;PG-13;95;['Drama', 'Romance'];7.4;0;Natalie, head of her curriculum activities in high school and riding on a tennis scholarship for college, gets Keith as her Chemistry lab partner. As Natalie can be uptight, Keith proves to be the opposite, even while hiding a secret.;['Todd Kessler'];['Elisabeth Harnois', 'Jesse McCartney', 'Margo Harshman', 'Ignacio Serricchio']
The Secret Life of Words;2005;Pas disponible;115;['Drama', 'Romance'];7.4;68;A hearing impaired factory worker gives up her first holiday in years and instead travels out to an oil rig, where she cares for a man suffering from severe burns.;['Isabel Coixet'];['Sarah Polley', 'Tim Robbins', 'Sverre Anker Ousdal', 'Javier Cámara']
Little Manhattan;2005;Tous Public;84;['Comedy', 'Family', 'Romance'];7.4;52;A 10-year-old boy and an 11-year-old girl find love in New York City.;['Mark Levin'];['Josh Hutcherson', 'Charlotte Ray Rosenberg', 'Bradley Whitford', 'Cynthia Nixon']
Saving Face;2004;R;91;['Comedy', 'Drama', 'Romance'];7.4;65;A gay Chinese-American and her traditionalist mother are reluctant to go public with secret loves that clash against cultural expectations.;['Alice Wu'];['Joan Chen', 'Michelle Krusiec', 'Lynn Chen', 'Jin Wang']
Le terminal;2004;Tous publics;128;['Comedy', 'Drama', 'Romance'];7.4;55;An Eastern European tourist unexpectedly finds himself stranded in JFK airport, and must take up temporary residence there.;['Steven Spielberg'];['Tom Hanks', 'Catherine Zeta-Jones', 'Chi McBride', 'Stanley Tucci']
Garden State;2004;Tous publics;102;['Comedy', 'Drama', 'Romance'];7.4;67;A quietly troubled young man returns home for his mother's funeral after being estranged from his family for a decade.;['Zach Braff'];['Zach Braff', 'Peter Sarsgaard', 'Natalie Portman', 'Ian Holm']
Ma vie sans moi;2003;R;106;['Drama', 'Romance'];7.4;57;A young woman conceals the fact of her terminal cancer to live her life with a passion she never had before.;['Isabel Coixet'];['Sarah Polley', 'Scott Speedman', 'Mark Ruffalo', 'Leonor Watling']
La famille indienne;2001;Tous Public;210;['Drama', 'Musical', 'Romance'];7.4;0;After marrying a poor woman, rich Rahul is disowned by his father and moves to London to build a new life. Years later, his now-grown younger brother Rohan embarks on a mission to bring Rahul back home and reunite the family.;['Karan Johar'];['Shah Rukh Khan', 'Kajol', 'Amitabh Bachchan', 'Hrithik Roshan']
Malena;2000;Tous publics;108;['Drama', 'Romance', 'War'];7.4;54;Amidst the war climate, a teenage boy discovering himself becomes love-stricken by Malèna, a sensual woman living in a small, narrow-minded Italian town.;['Giuseppe Tornatore'];['Monica Bellucci', 'Giuseppe Sulfaro', 'Luciano Federico', 'Matilde Piana']
High Fidelity;2000;Tous publics;113;['Comedy', 'Drama', 'Music'];7.4;79;Rob, a record store owner and compulsive list maker, recounts his top five breakups, including the one in progress.;['Stephen Frears'];['John Cusack', 'Iben Hjejle', 'Todd Louiso', 'Jack Black']
SLC Punk!;1998;R;97;['Comedy', 'Drama', 'Music'];7.4;50;In the early 1980s Stevo and Heroin Bob are the only two dedicated punks in conservative Salt Lake City.;['James Merendino'];['Matthew Lillard', 'Michael A. Goorjian', 'Annabeth Gish', 'Jennifer Lien']
L'oeuvre de Dieu, la part du diable;1999;Tous publics;126;['Drama', 'Romance'];7.4;75;A compassionate young man, raised in an orphanage and trained to be a doctor there, decides to leave to see the world.;['Lasse Hallström'];['Tobey Maguire', 'Charlize Theron', 'Michael Caine', 'Delroy Lindo']
Les miserables;1998;Tous publics;134;['Crime', 'Drama', 'History'];7.4;65;Valjean, a former criminal, has atoned for his past and now finds himself in the midst of the French Revolution, avoiding a law-obsessed policeman hell-bent on capturing him.;['Bille August'];['Liam Neeson', 'Geoffrey Rush', 'Uma Thurman', 'Christopher Adamson']
Buffalo '66;1998;Tous publics;110;['Comedy', 'Drama', 'Romance'];7.4;68;After being released from prison, Billy is set to visit his parents with his wife, whom he does not actually have. This provokes Billy to act out, as he kidnaps a girl and forces her to act as his wife for the visit.;['Vincent Gallo'];['Vincent Gallo', 'Christina Ricci', 'Ben Gazzara', 'Mickey Rourke']
